Date,zoneID,RMZ,Thing,Number
6/30/22,2,Bronx: Grand Concourse,Bait applied,869
6/30/22,2,Bronx: Grand Concourse,Exterminator visits,1025
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,Bait applied,2574
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,Exterminator visits,2661
6/30/22,4,Manhattan: Harlem,Bait applied,1579
6/30/22,4,Manhattan: Harlem,Exterminator visits,1828
6/30/22,3,Manhattan: East Village and Chinatown,Bait applied,967
6/30/22,3,Manhattan: East Village and Chinatown,Exterminator visits,1090
12/31/22,2,Bronx: Grand Concourse,Bait applied,1889
12/31/22,2,Bronx: Grand Concourse,Exterminator visits,1969
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,Bait applied,2538
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,Exterminator visits,2680
12/31/22,4,Manhattan: Harlem,Bait applied,2574
12/31/22,4,Manhattan: Harlem,Exterminator visits,2741
12/31/22,3,Manhattan: East Village and Chinatown,Bait applied,1028
12/31/22,3,Manhattan: East Village and Chinatown,Exterminator visits,1077
6/30/23,2,Bronx: Grand Concourse,Bait applied,1946
6/30/23,2,Bronx: Grand Concourse,Exterminator visits,2106
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,Bait applied,2882
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,Exterminator visits,3003
6/30/23,4,Manhattan: Harlem,Bait applied,3980
6/30/23,4,Manhattan: Harlem,Exterminator visits,4176
6/30/23,3,Manhattan: East Village and Chinatown,Bait applied,1137
6/30/23,3,Manhattan: East Village and Chinatown,Exterminator visits,1195
12/31/23,2,Bronx: Grand Concourse,Bait applied,2618
12/31/23,2,Bronx: Grand Concourse,Exterminator visits,3003
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,Bait applied,4214
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,Exterminator visits,4428
12/31/23,4,Manhattan: Harlem,Bait applied,3174
12/31/23,4,Manhattan: Harlem,Exterminator visits,3804
12/31/23,3,Manhattan: East Village and Chinatown,Bait applied,519
12/31/23,3,Manhattan: East Village and Chinatown,Exterminator visits,553