site_id,xcoordinat,ycoordinat,site_selec,2008-2010,2010-2013,2014-2016,2017-Current,is_present,symbol_cla,sampling_s,Lat,Long
228,918300,125373,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.51055198,-74.23717181
952,934108,139037,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.54815962,-74.18042266
2269,942090,150826,Reference,Y,Y,Y,Y,1,Routine Site,2008-present,40.58056044,-74.15177419
2496,1032592,151587,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.58261746,-73.82596104
2596,993035,152674,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.58572922,-73.96837016
2616,1013165,152573,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.58540776,-73.89589547
2818,932227,154067,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.58940337,-74.18730457
3156,987249,156523,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.59629704,-73.98919753
3162,993209,156818,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.59710246,-73.96773853
3742,1004866,160665,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.60764139,-73.92575199
4298,996002,164555,Purposeful,Y,Y,,Y,1,Routine Site,2008-present,40.61833542,-73.95766725
4698,977448,167365,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.62605335,-74.02450304
4937,933198,169715,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.63236018,-74.18392925
5007,1003865,169484,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.6318512,-73.92932892
5390,963302,172201,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.63930422,-74.07547648
5424,996976,172496,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.64013161,-73.95414295
5531,964370,173556,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.64302601,-74.07163473
6404,1007592,179303,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.65879273,-73.91586792
6642,1045170,181703,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.66520176,-73.78040634
6689,998936,182259,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.66692571,-73.94705854
6747,1056048,182347,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.66688697,-73.74118913
7155,983136,187315,Purposeful,Y,Y,,Y,1,Routine Site,2008-present,40.68081533,-74.00401292
7165,992267,187607,Purposeful,Y,Y,,Y,1,Routine Site,2008-present,40.68161256,-73.97109191
7191,1017561,187163,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.68033431,-73.87990022
7384,1008749,189179,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.68589582,-73.91166165
7717,1038140,191843,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.69307988,-73.8056653
7766,987691,192839,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.69597721,-73.98758853
7868,988192,193930,,,,,Y,1,Routine Site,2020-present,40.69897,-73.98579
7974,993992,195374,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.70292945,-73.96486109
8159,980075,196646,,,,,Y,1,Routine Site,2020-present,40.706424,-74.015059
8259,981197,197990,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.71011387,-74.01101043
8312,1033537,198171,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.71047404,-73.82221741
8464,995092,199975,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.71555575,-73.96088723
8550,985203,200319,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.71650733,-73.99656092
8555,989965,201054,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.71852252,-73.97937985
8745,985207,202964,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.72376657,-73.99654414
8869,1011881,203894,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.7262773,-73.90030793
8984,1028289,205128,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.72959857,-73.84110223
9151,998157,206643,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.73385473,-73.94981668
9254,1002870,207799,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.73701949,-73.93280943
9285,1033701,207874,Reference,Y,Y,Y,Y,1,Routine Site,2008-present,40.73710716,-73.82155565
9303,1051372,207255,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.73529001,-73.75779766
9373,1021495,209192,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.74078228,-73.8655928
9748,1001497,212402,,,,,Y,1,Routine Site,2020-present,40.749655,-73.937757
9836,992270,213771,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.75342713,-73.97104986
9927,985467,214890,,,,,Y,1,Routine Site,2020-present,40.756501,-73.995612
9929,987193,214753,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.75612438,-73.98937474
10023,985640,214498,Purposeful,Y,Y,,Y,1,Routine Site,2008-present,40.75542591,-73.99498011
10024,984984,215731,,,,,Y,1,Routine Site,2020-present,40.758807,-73.997357
10027,988310,215796,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.7589882,-73.98534408
10072,1032878,216094,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.75967232,-73.82446806
10228,996133,217681,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.76415461,-73.95709994
10343,1015521,218501,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.7663582,-73.88710993
10515,1002993,220609,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.77217759,-73.93233023
10853,993081,224704,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.78343477,-73.96810987
10953,1009397,223846,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.7810461,-73.90919814
11103,1000849,227602,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.79137785,-73.94005282
11174,996399,228690,Reference,Y,Y,Y,Y,1,Routine Site,2008-present,40.79436917,-73.95612002
11389,993809,231503,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.80209397,-73.9654708
11532,1003915,234225,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.80954866,-73.92896235
11548,1019372,234494,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.81023932,-73.87312295
11605,1011045,234374,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.80993951,-73.90320481
11712,996047,236006,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.81445087,-73.95737842
11774,998779,237268,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.81790975,-73.947506
11888,995714,239315,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.82353482,-73.95857745
11899,1007747,239425,Systematic,Y,Y,,Y,1,Routine Site,2008-present,40.82381297,-73.91509799
12260,1006117,244537,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.83784594,-73.92097252
12264,,,Systematic,,,,Y,1,Routine Site,2014-present,40.841135,-73.90726
12398,1020601,247546,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.84605899,-73.86861261
12441,1001519,248633,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.84910072,-73.93757848
12757,1009673,252870,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.86070871,-73.90809021
12900,1033532,255184,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.86695824,-73.82181697
13371,1009710,264083,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.89148472,-73.90791282
13385,1023677,263897,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.89092328,-73.85739953
13516,1017507,265503,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.89535703,-73.8797046
11464-EJ,1002284,232248,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.804045,-73.934414
11813-EJ,1037730,237640,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.81878,-73.80678
12456-EJ,1016860,247903,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.84705,-73.88215
12509-EJ,1007970,249255,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.85079,-73.91425
12528-EJ,1026480,249025,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.85009,-73.84734
3649-EJ,1052850,159299,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.603649,-73.752951
4664-EJ,944192,167919,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.627484,-74.144312
5408-EJ,981285,172414,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.639914,-74.010684
6485-EJ,984802,180545,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.662231,-73.99801
6703-EJ,1012770,182497,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.667542,-73.8972
6712-EJ,1021430,181803,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.665607,-73.865989
6824-EJ,1040040,182891,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.668495,-73.798894
7889-EJ,1008390,193669,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.69822,-73.91296
7980-EJ,999583,194780,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.70129,-73.9447
8664-EJ,1002170,202444,EJ,,,Y,Y,1,Environmental Justice Site,2014-present,40.72232,-73.93536
9931B,991506,217403,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.76339559,-73.97380438
561,925524,133379,Systematic,Y,,,,0,Retired Site,2008-2010,40.53257792,-74.2112618
1126,951245,141441,Systematic,Y,,,,0,Retired Site,2008-2010,40.55483987,-74.11877
1293,926439,142380,Systematic,Y,,,,0,Retired Site,2008-2010,40.55728914,-74.20804584
1303,936910,142959,Systematic,Y,,,,0,Retired Site,2008-2010,40.55894045,-74.1703679
1887,943856,147648,Systematic,Y,,,,0,Retired Site,2008-2010,40.57184359,-74.14539946
2129,937076,150196,Systematic,Y,,,,0,Retired Site,2008-2010,40.5788047,-74.16981975
2319,992200,150919,Systematic,Y,,,,0,Retired Site,2008-2010,40.58091043,-73.97137882
2831,946389,155126,Systematic,Y,,,,0,Retired Site,2008-2010,40.5923815,-74.13632071
2883,997806,154731,Systematic,Y,,,,0,Retired Site,2008-2010,40.59136834,-73.95118902
2980,953720,156233,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.59544835,-74.10993219
3685,948769,160737,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.60779211,-74.12778345
3987,966245,162869,Systematic,Y,,,,0,Retired Site,2008-2010,40.61369719,-74.06484875
4405,963530,165635,Systematic,Y,,,,0,Retired Site,2008-2010,40.62128297,-74.07463686
4820,958402,168156,Purposeful,Y,,,,0,Retired Site,2008-2010,40.62818882,-74.09311815
4954,951558,169429,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.6316613,-74.11778079
5412,985179,172320,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.63965751,-73.99665121
5762,1053235,178189,Systematic,Y,,,,0,Retired Site,2008-2010,40.65549619,-73.75137318
5835,983129,175667,Systematic,Y,,,,0,Retired Site,2008-2010,40.6488427,-74.00403864
5975,981283,176407,Systematic,Y,,,,0,Retired Site,2008-2010,40.65087306,-74.01068886
6010,1015772,176084,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.64993202,-73.88640028
6385,989059,179476,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.65929578,-73.98266551
6493,992600,180183,Reference,Y,Y,,,0,Retired Site,2008-2014,40.66123619,-73.96990114
6630,1032321,181986,Systematic,Y,,,,0,Retired Site,2008-2010,40.6660579,-73.82672114
6817,1033593,183411,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.66996276,-73.82212516
6859,983360,184503,Systematic,Y,,,,0,Retired Site,2008-2010,40.67309603,-74.00320575
6902,1025757,184392,Systematic,Y,,,,0,Retired Site,2008-2010,40.67269332,-73.85036657
7258,984264,188168,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.68315644,-73.99994669
7363,988068,189177,Systematic,Y,,,,0,Retired Site,2008-2010,40.68592308,-73.98623135
7376,1001032,188954,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.6852969,-73.93948841
7480,1004100,190199,Systematic,Y,,,,0,Retired Site,2008-2010,40.68870867,-73.92842187
7483,1006845,190084,Systematic,Y,,,,0,Retired Site,2008-2010,40.68838496,-73.91852371
7567,990082,191151,Systematic,Y,,,,0,Retired Site,2008-2010,40.69134039,-73.97896881
7577,999878,191201,Systematic,Y,,,,0,Retired Site,2008-2010,40.69146758,-73.94364454
7603,1025545,191103,Systematic,Y,,,,0,Retired Site,2008-2010,40.69111623,-73.85108937
7682,1004325,192208,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.69422069,-73.92760658
7709,1030342,192155,Systematic,Y,,,,0,Retired Site,2008-2010,40.69398047,-73.8337843
7769,990433,193076,Systematic,Y,,,,0,Retired Site,2008-2010,40.69662536,-73.97770079
7822,1042149,193153,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.69664949,-73.79119845
8032,1051210,194606,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.70057455,-73.75850649
8109,1028766,195769,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.7039077,-73.83944316
8161,982312,197059,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.70755831,-74.00698942
8185,1005839,197001,Systematic,Y,,,,0,Retired Site,2008-2010,40.70737339,-73.92212973
8203,1023409,196742,Systematic,Y,,,,0,Retired Site,2008-2010,40.70660227,-73.85875736
8205,1025508,197346,Systematic,Y,,,,0,Retired Site,2008-2010,40.70825115,-73.85118475
8219,1039459,197190,Systematic,Y,,,,0,Retired Site,2008-2010,40.70774595,-73.80086735
8293,1014630,198759,Systematic,Y,,,,0,Retired Site,2008-2010,40.71217348,-73.89041529
8296,1017923,197972,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.71000171,-73.87853918
8336,1056702,197431,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.70828439,-73.7386715
8684,1021711,201979,Systematic,Y,,,,0,Retired Site,2008-2010,40.72098368,-73.86485344
8706,1043013,201892,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.72063004,-73.78800781
9009,1053714,204992,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.72906089,-73.74936923
9452,1000569,209784,Systematic,Y,,,,0,Retired Site,2008-2010,40.74247045,-73.94110615
9461,1009702,209798,Systematic,Y,,,,0,Retired Site,2008-2010,40.74248799,-73.90814986
9497,1045369,209823,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.7423826,-73.7794341
9608,1056401,209846,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.74236154,-73.73962476
9636,987746,212045,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.74869075,-73.98737954
9752,1006658,212672,Systematic,Y,,,,0,Retired Site,2008-2010,40.75038637,-73.91912383
9859,1014810,213870,Systematic,Y,,,,0,Retired Site,2008-2010,40.75364817,-73.88969634
9863,1018674,214136,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.75436373,-73.87574727
9984,1041353,214784,Systematic,Y,,,,0,Retired Site,2008-2010,40.75602723,-73.79388683
10225,992976,217761,Systematic,Y,,,,0,Retired Site,2008-2010,40.76437821,-73.96849675
10377,1049211,218795,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.76698038,-73.76548256
10411,991105,219554,Systematic,Y,,,,0,Retired Site,2008-2010,40.76930123,-73.97525009
10633,1031627,221301,Purposeful,Y,,,,0,Retired Site,2008-2010,40.77397078,-73.82894677
11022,998944,226467,Systematic,Y,,,,0,Retired Site,2008-2010,40.78826523,-73.94693537
11245,991889,229477,Systematic,Y,,,,0,Retired Site,2008-2010,40.79653467,-73.97240982
11394,999081,231325,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.80159732,-73.94642977
11664,1008663,234953,Systematic,Y,Y,Y,,0,Retired Site,2008-2014,40.81153406,-73.91180657
11671,1015459,233054,Purposeful,Y,,,,0,Retired Site,2008-2010,40.80630281,-73.88726455
11678,1022615,235433,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.81280165,-73.86140332
11892,1001106,239266,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.82339051,-73.93909446
12266,1011707,245265,Systematic,Y,,,,0,Retired Site,2008-2010,40.83982952,-73.90076833
12383,1004859,246698,Purposeful,Y,,,,0,Retired Site,2008-2010,40.84378185,-73.9255139
12449,1009874,248112,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.84765027,-73.90738068
12504,1003018,249564,Systematic,Y,,,,0,Retired Site,2008-2010,40.85165101,-73.93215905
12639,1013708,251251,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.85625331,-73.89351121
12647,1021636,250986,Systematic,Y,,,,0,Retired Site,2008-2010,40.85549701,-73.86485345
12884,1017978,255473,Reference,Y,Y,,,0,Retired Site,2008-2014,40.86782575,-73.87805135
13015,1031382,256740,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.87124072,-73.82958143
13182,1029409,259827,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.87972581,-73.83669288
13193,1039530,255294,Systematic,Y,Y,,,0,Retired Site,2008-2014,40.86722465,-73.8001304
13285,1024747,261981,Systematic,Y,,,,0,Retired Site,2008-2010,40.88565939,-73.85353803
10030A,990138,214345,Purposeful,Y,Y,,,0,Retired Site,2008-2014,40.75500301,-73.97874688
10030B,990261,214334,Purposeful,Y,,,,0,Retired Site,2008-2010,40.75497319,-73.97830054
9931A,991558,217357,Purposeful,Y,,,,0,Retired Site,2008-2010,40.76327083,-73.97361855