Date,zoneID,RMZ,Type,Number
6/30/22,2,Bronx: Grand Concourse,City agency,472
6/30/22,2,Bronx: Grand Concourse,Private property,2326
6/30/22,2,Bronx: Grand Concourse,Active rat signs,2058
6/30/22,2,Bronx: Grand Concourse,All fail,2798
6/30/22,2,Bronx: Grand Concourse,Initial inspections,9816
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,City agency,292
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,Private property,3830
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,Active rat signs,3821
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,All fail,4122
6/30/22,1,Brooklyn: Bed Stuy and Bushwick,Initial inspections,15336
6/30/22,4,Manhattan: Harlem,City agency,550
6/30/22,4,Manhattan: Harlem,Private property,2121
6/30/22,4,Manhattan: Harlem,Active rat signs,2348
6/30/22,4,Manhattan: Harlem,All fail,2671
6/30/22,4,Manhattan: Harlem,Initial inspections,9602
6/30/22,3,Manhattan: East Village and Chinatown,City agency,550
6/30/22,3,Manhattan: East Village and Chinatown,Private property,784
6/30/22,3,Manhattan: East Village and Chinatown,Active rat signs,1194
6/30/22,3,Manhattan: East Village and Chinatown,All fail,1334
6/30/22,3,Manhattan: East Village and Chinatown,Initial inspections,5273
12/31/22,2,Bronx: Grand Concourse,City agency,585
12/31/22,2,Bronx: Grand Concourse,Private property,2949
12/31/22,2,Bronx: Grand Concourse,Active rat signs,2512
12/31/22,2,Bronx: Grand Concourse,All fail,3534
12/31/22,2,Bronx: Grand Concourse,Initial inspections,9999
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,City agency,324
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,Private property,3434
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,Active rat signs,3398
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,All fail,3758
12/31/22,1,Brooklyn: Bed Stuy and Bushwick,Initial inspections,15564
12/31/22,4,Manhattan: Harlem,City agency,456
12/31/22,4,Manhattan: Harlem,Private property,1318
12/31/22,4,Manhattan: Harlem,Active rat signs,1673
12/31/22,4,Manhattan: Harlem,All fail,1774
12/31/22,4,Manhattan: Harlem,Initial inspections,4596
12/31/22,3,Manhattan: East Village and Chinatown,City agency,487
12/31/22,3,Manhattan: East Village and Chinatown,Private property,808
12/31/22,3,Manhattan: East Village and Chinatown,Active rat signs,1065
12/31/22,3,Manhattan: East Village and Chinatown,All fail,1295
12/31/22,3,Manhattan: East Village and Chinatown,Initial inspections,5288
6/30/23,2,Bronx: Grand Concourse,City agency,760
6/30/23,2,Bronx: Grand Concourse,Private property,2627
6/30/23,2,Bronx: Grand Concourse,Active rat signs,2704
6/30/23,2,Bronx: Grand Concourse,All fail,3387
6/30/23,2,Bronx: Grand Concourse,Initial inspections,9975
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,City agency,349
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,Private property,3217
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,Active rat signs,3261
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,All fail,3566
6/30/23,1,Brooklyn: Bed Stuy and Bushwick,Initial inspections,15531
6/30/23,4,Manhattan: Harlem,City agency,882
6/30/23,4,Manhattan: Harlem,Private property,2858
6/30/23,4,Manhattan: Harlem,Active rat signs,3118
6/30/23,4,Manhattan: Harlem,All fail,3740
6/30/23,4,Manhattan: Harlem,Initial inspections,11429
6/30/23,3,Manhattan: East Village and Chinatown,City agency,528
6/30/23,3,Manhattan: East Village and Chinatown,Private property,779
6/30/23,3,Manhattan: East Village and Chinatown,Active rat signs,1069
6/30/23,3,Manhattan: East Village and Chinatown,All fail,1307
6/30/23,3,Manhattan: East Village and Chinatown,Initial inspections,5305
12/31/23,2,Bronx: Grand Concourse,City agency,627
12/31/23,2,Bronx: Grand Concourse,Private property,2561
12/31/23,2,Bronx: Grand Concourse,Active rat signs,2451
12/31/23,2,Bronx: Grand Concourse,All fail,3188
12/31/23,2,Bronx: Grand Concourse,Initial inspections,9758
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,City agency,375
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,Private property,4129
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,Active rat signs,3984
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,All fail,4504
12/31/23,1,Brooklyn: Bed Stuy and Bushwick,Initial inspections,15533
12/31/23,4,Manhattan: Harlem,City agency,942
12/31/23,4,Manhattan: Harlem,Private property,2501
12/31/23,4,Manhattan: Harlem,Active rat signs,2677
12/31/23,4,Manhattan: Harlem,All fail,3443
12/31/23,4,Manhattan: Harlem,Initial inspections,11430
12/31/23,3,Manhattan: East Village and Chinatown,City agency,469
12/31/23,3,Manhattan: East Village and Chinatown,Private property,783
12/31/23,3,Manhattan: East Village and Chinatown,Active rat signs,1005
12/31/23,3,Manhattan: East Village and Chinatown,All fail,1252
12/31/23,3,Manhattan: East Village and Chinatown,Initial inspections,5123